id,# of genres,# of production companies,production countries,number of production countries,Oversea Status,release year,release quarter,# of keywords,# of cast,gender distribution for cast,actor name,# of crew,gender distribution for crew,budget,homepage,imdbid,popularity,runtime,tagline
3011,3,2,['US'],1,1,05,3,8,8,"[(0, 5, 3)]","EdwardFurlong,DanielFranzese,AndrewKeegan,SusanWard,SanoeLake,LauraRamsey,AimeeGarcia,JaimePressly",7,"[(3, 0, 4)]",2000000,,tt0419663,0.262437,88,When You Get Voted Off This Reality Show... It's For Good!
3012,1,14,['FR'],1,0,14,2,4,18,"[(16, 1, 1)]","KaridjaTour,AssaSylla,LindsayKaramoh,Mari,IdrissaDiabat,RabahNaitOufella,SiminaSoumar,DielikaCoulibaly,CyrilMendy,DjibrilGueye,BintaDiop,DamienChapelle,NinaMelo,ElyesSabyani,HalemElSabagh,NasserebaKeita,TiaDiagne",10,"[(8, 2, 0)]",0,,tt3655522,4.220318,112,
3013,2,2,"['ZA', 'BW']",2,1,80,3,11,10,"[(6, 1, 3)]","N,MichaelThys,MariusWeyers,SandraPrinsloo,LouwVerwey,NicDeJager,FanyanaH,JoeSeakatsie,KenGampu",17,"[(13, 0, 4)]",5000000,,tt0080801,10.973482,109,The critics are raving... the natives are restless... and the laughter is non-stop!
3014,2,0,['US'],1,1,02,2,1,9,"[(4, 3, 2)]","VictorRasuk,JudyMarte,MelonieDiaz,AltagraciaGuzman,SilvestreRasuk,KrystalRodriguez,KevinRivera,WilfreeVasquez,DonnaMaldonado",3,"[(0, 1, 2)]",800000,http://www.lhp.com.sg/victor/,tt0316188,1.178723,88,
3015,4,3,['US'],1,1,08,3,2,25,"[(13, 2, 10)]","RachelWeisz,AdrienBrody,MarkRuffalo,RinkoKikuchi,RobbieColtrane,MaximilianSchell,RickyJay,ZacharyGordon,MaxRecords,AndyNyman,NoahSegan,NoraZehetner,RamBergman,CraigJohnson,DubravkoJovanovi,EsmeTyler,JovanVitas,AnaSofrenovi,VladimirKulhavy,AlekRodic,JosifTati,Slobodan,BrankaPuji,GeorgeBocchetti,ElisDerham",20,"[(6, 6, 8)]",20000000,http://www.brothersbloom.com/,tt0844286,7.973126,114,They'd never let the truth come between them.
3016,1,2,['US'],1,0,10,3,7,7,"[(1, 2, 4)]","MichaelSheen,MariaBello,AlanTudyk,MoonBloodgood,KyleGallner,MeatLoaf,BruceFrench",8,"[(6, 0, 2)]",0,http://www.beautifulboythemovie.com/,tt1533013,2.114833,100,"To confront the truth, first they had to face each other."
3017,3,3,['US'],1,1,10,1,9,18,"[(0, 8, 10)]","JohnCusack,LizzyCaplan,RobCorddry,CraigRobinson,ClarkDuke,ChevyChase,SebastianStan,ColletteWolfe,LyndsyFonseca,CrispinGlover,WilliamZabka,JessicaPar,CrystalLowe,KelleeStewart,JuliaMaxwell,JoshHeald,CharlieMcDermott,AmberHay",22,"[(9, 2, 11)]",36000000,http://www.mgm.com/view/Movie/2387/Hot-T...,tt1231587,11.967652,101,Kick some past
3018,4,4,"['CN', 'GB', 'US']",3,0,14,2,16,41,"[(0, 10, 31)]","JohnnyDepp,PaulBettany,RebeccaHall,KateMara,MorganFreeman,CillianMurphy,ColeHauser,CliftonCollinsJr,FalkHentschel,KristenRakes,CoryHardrict,JoshStewart,LuceRains,FernandoChien,StevenLiu,XanderBerkeley,LukasHaas,WallaceLangham,JamesBurnett,SamQuinn,SamWebb,ChrisGartin,OliviaTaylorDudley,AbeMartell,LaurenSivan,LaramieCooley,NancyJeris,ColinJones,DylanKenin,ChadBrummett,AntonioDelPrete,JonKristianMoore,JohnTrejo,DarrenP,RichardDanielWilliams,SethAdkins,JaimePowers,LubellaGauna,LynQuinn,KendraTuthill,DarrickHurst",67,"[(48, 5, 14)]",100000000,,tt2209764,9.730176,119,"Yesterday, Dr. Will Caster was only human..."
3019,2,2,['US'],1,0,79,4,17,24,"[(6, 6, 12)]","RoyScheider,JessicaLange,LelandPalmer,AnnReinking,BenVereen,CliffGorman,ErzsebetFoldi,MichaelTolan,MaxWright,WilliamLeMassena,IreneKane,DeborahGeffner,KathrynDoby,AnthonyHolland,RobertHitt,DavidMargulies,SuePaul,KeithGordon,FrankieMan,AlanHeim,JohnLithgow,SandahlBergman,CCHPounder,WallaceShawn",15,"[(7, 0, 8)]",0,,tt0078754,5.632325,123,All that work. All that glitter. All that pain. All that love. All that crazy rhythm. All that jazz.
3020,3,3,['US'],1,1,97,4,21,136,"[(64, 30, 42)]","KateWinslet,LeonardoDiCaprio,FrancesFisher,BillyZane,KathyBates,GloriaStuart,BillPaxton,BernardHill,DavidWarner,VictorGarber,JonathanHyde,SuzyAmis,LewisAbernathy,NicholasCascone,DannyNucci,JasonBarry,LewPalter,EricBraeden,BernardFox,EwanStewart,IoanGruffudd,JonnyPhillips,EdwardFletcher,ScottG,MartinEast,GregoryCooke,AlexandreaOwens,SethAdkins,MichaelEnsign,AnatolyM,MartinHub,MarkLindsayChapman,RichardGraham,PaulBrightwell,RonDonachie,CharlotteChatton,FannieBrett,JenetteGoldstein,CamillaOverbyeRoos,LindaKerns,AmyGaipa,MartinJarvis,RosalindAyres,RochelleRose,JonathanEvansJones,BrianWalsh,RockyTaylor,CraigKelly,LiamTuohy,SimonCrane,JamesLancaster,ElsaRaven,ReeceP,LaramieLandis,MarkRafaelTruitt,JohnWalcutt,TerryForrestal,DerekLea,RichardAshton,SeanNepita,BrendanConnolly,DavidCronnelly,GarthWilton,RichardFox,NickMeaney,KevinOwers,MarkCapri,MarcCass,PaulHerbert,EmmettJames,ChrisByrne,OliverPage,JamesGarrett,ErikHolland,ErikHolland,JariKinnunen,AndersFalk,BarryDennen,VernUrich,RebeccaKlingler,KathleenS,RomeoFrancis,MandanaMarino,VanLing,Bj,DanPettersson,ShayDuffin,GregEllis,DianaMorgan,KrisAndersson,BobbieBates,AaronJamesCash,AnneFletcher,EdmondAlanForsyth,AndieHicks,ScottHislop,StanMazin,LisaRatzin,JuleneRenee,BrianBaines,EllieBensinger,AlexandraBoyd,MikeButters,JamesCameron,BrunoCampolo,ChrisCragnotti,KevynCurrie,KevinDeLaNoy,ThomasFiss,GriffinHowell,SeanHowse,TonyKenny,BretAaronKnower,GeorgeKostyIII,GeorgeKostyJr,GeoffreyC,GregoryCharlesKosty,SeanLawlor,JohnLeonhardt,MiguelA,DonLynch,JohnnyMartin,RyanMcClurkin,MeghanMcLeod,JulianOros,PhilParlapiano,JudyPrestininzi,StevenQuale,OliviaRosewood,JohnSlade,StephenWolfeSmith,R,FranciscoV,LucieZolcerova",65,"[(42, 6, 17)]",200000000,http://www.titanicmovie.com,tt0120338,26.88907,194,Nothing on Earth could come between them.
3021,3,4,['US'],1,0,98,3,16,20,"[(5, 2, 13)]","JonFavreau,LelandOrser,CameronDiaz,ChristianSlater,JeremyPiven,DanielStern,JeanneTripplehorn,RobBrownstein,BlakeGibbons,TylerColeMalinger,JoeyZimmerman,RussellB,KobeTai,PanchoDemmings,LawrencePressman,BrianGrandison,JohnCappon,SteveFitchpatrick,AngeloDiMascioJr,LindaKlein",19,"[(4, 5, 10)]",30000000,,tt0124198,10.432293,100,They've been bad. Very bad.
3022,2,6,['US'],1,0,08,3,12,33,"[(11, 14, 8)]","DaneCook,KateHudson,AlecBaldwin,JasonBiggs,DioraBaird,LizzyCaplan,RikiLindhome,MiniAnden,NateTorrence,HilaryPingle,MalcolmBarrett,TaranKillam,FayeGrant,AmandaBrooks,RichardSnee,AlbertoBonilla,SallyPressman,KateAlbrecht,RakefetAbergel,AndrewCaldwell,MaureenKeiller,TomKemp,TonyV,JacquiHolland,AndriaBlackman,GeorgiaLyman,MelinaLizette,JoshAlexander,JennyMollen,EamonBrooks,CyceSadsad,RobRota,EdnaPanaggio",24,"[(6, 3, 15)]",20000000,http://www.mybestfriendsgirlmovie.com,tt1046163,14.114136,101,It's funny what love can make you do...
3023,2,5,['US'],1,0,06,3,0,15,"[(4, 5, 6)]","BrianF,JasonLeith,RichardTillman,TobyKeith,LelandL,KellyPreston,BurtReynolds,LindseyHaun,JeffPortell,GregClarkson,TessHarper,AnnaMariaHorsford,SharonBlackwood,JoshHenderson,DanielNewman",19,"[(10, 5, 4)]",0,,tt0477392,1.120498,105,
3024,2,4,"['DE', 'GB', 'US']",3,0,04,3,1,6,"[(0, 1, 5)]","CarrieAnneMoss,AaronEckhart,BenKingsley,HarryLennix,KevinChamberlin,KeithCampbell",13,"[(3, 5, 5)]",27000000,,tt0324127,7.550891,99,Who's next?
3025,3,4,['NA'],0,0,16,2,2,20,"[(8, 3, 9)]","JamesFranco,AmberHeard,EdHarris,ChristianSlater,WilmerValderrama,JimParrack,CynthiaNixon,MichaelCristofer,DannyFlaherty,Timoth,JakeKatzman,ElianaFanders,TamzinBrown,TonyaGlanz,CasperAndreas,GiuliaCicciari,RochelleBostrom,RaymondT,LauraFrost,GiuseppeCicciari",37,"[(29, 0, 8)]",0,,tt1735907,4.14228,105,The truth is a motherf_cker.
3026,2,4,['US'],1,0,91,4,12,27,"[(13, 6, 8)]","RobertDeNiro,NickNolte,JessicaLange,JulietteLewis,JoeDonBaker,RobertMitchum,GregoryPeck,IlleanaDouglas,FredDaltonThompson,ZullyMontero,MartinBalsam,CraigHenne,EdgarAllanPoeIV,AntoniCorone,RogerPretto,ParrisBuckner,WillKnickerbocker,C,DomenicaCameronScorsese,BillyD,KenCollins,LindaPerri,CatherineScorsese,CharlesScorsese,KenWaters,EstherRolle,TamaraJones",39,"[(17, 7, 15)]",35000000,,tt0101540,10.302735,128,There is nothing in the dark that isn't there in the light. Except fear.
3027,3,1,"['SE', 'US']",2,0,88,3,4,13,"[(5, 3, 5)]","TamiErin,DavidSeaman,CoryCrow,EileenBrennan,DennisDugan,DianneHull,GeorgeDiCenzo,DickVanPatten,JohnSchuck,BranscombeRichmond,FayMasterson,CaroleKean,FrankWelker",15,"[(8, 2, 5)]",5000000,,tt0093744,3.078111,100,Come see Pippi as you've never seen her before!
3028,3,4,['US'],1,0,16,4,3,13,"[(0, 5, 8)]","BenAffleck,AnnaKendrick,J,JonBernthal,JeffreyTambor,JohnLithgow,JeanSmart,CynthiaAddaiRobinson,AndyUmberger,AlisonWright,DaegFaerch,InderKumar,MichaelBeasley",66,"[(52, 6, 8)]",44000000,http://www.accountantmovie.com/,tt2140479,13.465656,128,Calculate your choices.
3029,2,2,['IL'],1,0,12,2,1,8,"[(7, 0, 1)]","OhadKnoller,LiorAshkenazi,OrlySilbersatzBanai,OzZehavi,OlaSchurSelektar,MeirGolan,ShlomiBenAttar,AmirJerassi",2,"[(1, 0, 1)]",500000,http://yossifilm.com/,tt1934269,1.162001,84,
3030,2,1,['US'],1,0,01,3,5,15,"[(1, 2, 12)]","ColinFarrell,ScottCaan,AliLarter,GabrielMacht,GregorySmith,KathyBates,TimothyDalton,HarrisYulin,WillMcCormack,RonnyCox,NathanielArcand,JoeStevens,BarryTubb",11,"[(3, 2, 6)]",35000000,,tt0244000,10.855383,94,Sometimes the wrong side of the law is the right place to be.
3031,3,3,['US'],1,0,06,2,16,27,"[(14, 5, 8)]","SookYinLee,PaulDawson,PJDeBoy,JayBrannan,LindsayBeamish,RaphaelBarker,PeterStickles,RayRivas,Bitch,ShantiCarson,JustinHagan,MiriamShor,BradfordScobie,RegVermue,AdamHardman,AlanMandell,JanHilmer,StephenKentJusick,YolondaRoss,JocelynSamson,DanielaSea,RachaelC,DerekJackson,JonathanCaouette,MaryBethPeil,TristanTaormino,JustinBond",10,"[(2, 0, 8)]",2000000,,tt0367027,11.547748,101,Open Your Mind. And Everything Else.
3032,1,2,['IN'],1,0,06,1,5,9,"[(1, 2, 6)]","AamirKhan,SohaAliKhan,AlicePatten,SharmanJoshi,KunalKapoor,AtulKulkarni,Madhavan,Siddharth,KirronKher",11,"[(7, 1, 3)]",2200000,,tt0405508,4.102052,157,A Generation Awakens
3033,3,1,['US'],1,0,98,3,0,3,"[(3, 0, 0)]","CharisMichelsen,TomLarson,RichardSpore",2,"[(2, 0, 0)]",250,,tt0119346,0.817002,72,
3034,1,4,"['IN', 'CH', 'DE']",3,1,01,3,3,0,"[(0, 0, 0)]",,1,"[(1, 0, 0)]",300000,,tt0221809,0.113042,101,
3035,2,5,['US'],1,0,14,2,2,131,"[(118, 8, 5)]","JennySlate,JakeLacy,GabyHoffmann,PaulBriganti,StephenSinger,RichardKind,PollyDraper,GabeLiedman,CindyCheung,ErnestMingione,CyrusMcQueen,DavidCross,MaciekJasik,JenniferKim,SuzanneLenz,EmilyTremaine,StaceySargeant,BrendaBirkeland,KellyFrancesRamsey,JudithReid,RobertConant,KarlaConford,NormGennarelli,PatKeegan,AngelikiKoutsos,JacklineF,EileenLandsman,GailLott,PeterMastando,GiuseppeMoreni,DorisSantera,FrancesSilverglate,LucienWasserman,EliseWiderker,NicholasCirillo,DianaClarke,SamanthaLifson,KarenMaine,BiancaMitchell,LindaMorris,RachelOteo,SabrinaPetrov,AnnaPowers,ShannonRichardson,GabrielleRoberts,ChristinaTirado,MikaAlexander,CalaixAlexander,RamsesAlexandre,CarlBanks,DanielBennett,BlairBeusman,MikailaBeusman,MichaelBonfiglio,GregoryBrecher,LaurenBrown,LeilaResslerBunk,ChelseaCanavan,ClaireChristerson,EmmanuelChristian,ChrisClarke,ZacharyCollinger,ValeriaCogliania,DanielDeBiasio,DavidDelarosa,MaryDelMarco,SpencerDennis,DermanDeniz,TiffanyDixon,AllieDougharty,RyanEdmunson,AlexandraEllis,PeterFairman,MargaretFarmer,MichelleFetky,ChloeFitzpatrick,JosephGabler,ChadGardella,AdrineGeorges,NoelGretchin,LaurenVerHage,AprilHayes,AshleyHernandez,SamanthaHernandez,SarahHoward,KateHurwitz,JuliaKeith,NicholasKemp,SaodatKhaimova,SaraKiener,JoesephKrings,JustinLerner,JosephLindberg,BryanLongchamp,CrystalLonnenberg,KatiaMaguire,BruceMcLaverty,OctawieMoore,AmyNovondo,SuzanneOddo,Melanie,JosephPassalucqua,KarmenifeGomezPaulino,EmilyPena,JoaoPerdoma,KevinPerez,MaresaPoniteh,CourtneyPressler,GiselleRamirez,JudithReid,SarinaRoma,DanielRubenstein,SarahSalih,JonathanSessa,JoeSheperd,DanielleSinay,ConradSmith,LyraSmith,DavidTeitel,NoahTerrien,FrankTufano,AlisonVingiano,TiffanyVonHiggins,ElizabethWeitzer,JamieWilliams,JonathanWilson,JordanWinsett,BryanWoodward,IsabelYellin,JulieZimmer,FranklinZitter",25,"[(18, 7, 0)]",0,,tt2910274,6.480574,83,
3036,2,4,['AU'],1,0,14,3,1,62,"[(48, 3, 11)]","EthanHawke,SarahSnook,NoahTaylor,ChristopherKirby,MadeleineWest,JimKnobeloch,FreyaStafford,EliseJansen,TylerCoppin,ChristopherStollery,ChristopherSommers,KuniHashimoto,SaraElYafi,PaulModer,GrantPiro,ChristopherBunworth,JamieGleeson,ChristinaTan,DennisCoard,MillaSimmonds,RubySimmonds,CateWolfe,BenPrendergast,CarmenWarrington,SharonKershaw,CharlieAlexanderPowell,SmithAlexanderPowell,OliviaSprague,KatieAvram,MelissaAvram,GiordanoGangl,TonyNikolakopoulos,MoniqueHeath,SophieCusworth,FineganSampson,DavidRock,RichardWhybrow,FelicitySteel,LucindaArmstrongHall,MajaSarosiek,VanessaCrouch,SophieVanDenAkker,MadeleineDixon,HayleyButcher,RebeccaCullinan,AliciaPavlis,EwaBartecki,AlexisFernandez,KristieJandric,MarkyLeeCampbell,RobJenkins,RajSidhu,AnnabelleNorman,ScottNorman,KristenNorman,MichaelNorman,LouiseTalmadge,CarolynShakespeareAllen,NoelHerriman,RayTiernan",44,"[(33, 0, 11)]",5500000,,tt2397535,10.524204,97,To save the future he must reshape the past.
3037,3,3,['US'],1,0,03,4,16,21,"[(8, 8, 5)]","JessicaAlba,MekhiPhifer,JoyBryant,RomeoMiller,DavidMoscow,ZacharyIsaiahWilliams,MissyElliott,AnthonySherwood,LonetteMcKee,Maestro,JudiEmbden,AlisonSealySmith,ScottNeil,SarahFrancis,JullWeber,KevinDuhaney,BrandiWard,FonzworthBentley,TracyDawson,LaurieannGibson,ShawnDesman",17,"[(7, 5, 5)]",18000000,,tt0322589,11.863954,94,Her dream. Her terms
3038,3,5,"['US', 'CN', 'CA']",3,0,16,1,16,10,"[(3, 3, 4)]","LaurenCohan,RupertEvans,JamesRussell,JimNorton,DianaHardcastle,BenRobson,JettKlyne,LilyPater,StephanieLemelin,MatthewWalker",48,"[(34, 0, 14)]",10000000,http://theboymovie.tumblr.com/,tt3882082,17.028854,97,Every child needs to feel loved.
3039,4,6,"['BE', 'FR', 'LU']",3,0,12,4,5,25,"[(9, 5, 11)]","AnneMarieLoop,LambertWilson,PaulineBrunner,PatriceMelennec,BrigitteVirtudes,L,DominiqueMaurin,YannLemadic,F,VincentGrass,PatriceDozier,JacquesCiron,GarancePauwels,RomyBeckman,DelphinaBelle,SusanneBlakeslee,AshleyBoettcher,ForestWhitaker,MackenzieFoy,LaurenBacall,PaulGiamatti,WilliamH,MeganMullally,NickOfferman,JeffreyWright",12,"[(12, 0, 0)]",12516654,,tt1816518,7.225779,78,"Bonnie and Clyde, Sid and Nancy..."
3040,4,4,['GB'],1,0,86,4,10,4,"[(1, 1, 2)]","PeggyAshcroft,JohnMills,RobinHouston,DavidDundas",12,"[(10, 0, 2)]",0,,tt0090315,3.933121,80,...It's No Fairy Tale
3041,2,3,['US'],1,0,11,4,6,18,"[(3, 10, 5)]","CharlizeTheron,PattonOswalt,PatrickWilson,ElizabethReaser,ColletteWolfe,JillEikenberry,RichardBekins,BrianMcElhaney,MaryBethHurt,KateNowlin,JennyDarePaulin,RebeccaHart,LouisaKrause,ElizabethWardLand,HettiennePark,J,EllaRaePeck,EmilyMeade",41,"[(27, 5, 9)]",12000000,http://www.youngadultmovie.com/,tt1625346,6.142913,94,Everyone gets old. Not everyone grows up.
3042,4,2,['US'],1,0,87,3,20,15,"[(3, 5, 7)]","JamesWoods,BrianDennehy,VictoriaTennant,AllisonBalson,PaulShenar,GeorgeCoe,AnnePitoniak,MaryCarver,KathleenLloyd,SullyBoyar,CharlesTyner,E,JeffreyJosephson,EdwardBlackoff,SeymourCassel",24,"[(10, 0, 14)]",0,,tt0092641,2.173823,95,Writing A Book Is Easy. Writing A Best Seller Is Murder.
3043,3,3,['US'],1,0,12,2,7,20,"[(4, 5, 11)]","DaniellePanabaker,MattBush,KatrinaBowden,JeanLucBilodeau,DavidKoechner,ChrisZylka,DavidHasselhoff,ChristopherLloyd,PaulScheer,GaryBusey,CluGulager,IrinaVoronina,SylviaJefferies,AlisaHarris,VingRhames,AdrianMartinez,PaulJamesJordan,MeaganTandy,SierraFisk,JennaHurt",39,"[(23, 3, 13)]",5000000,http://piranha-3d.com/,tt1714203,5.615205,83,Twice the Teeth. Twice the Terror.
3044,1,6,['FR'],1,0,14,2,0,13,"[(7, 2, 4)]","LambertWilson,FranckDubosc,FlorenceForesti,GuillaumedeTonqu,J,Val,SophieDuez,LionelAbelanski,MarcFayet,AntoineBlanquefort,NabihaAkkari,LysianeMeis,St",3,"[(3, 0, 0)]",6000000,,tt3202120,4.707275,98,
3045,3,2,['US'],1,1,11,3,15,56,"[(9, 11, 36)]","ChrisEvans,HugoWeaving,TommyLeeJones,HayleyAtwell,SebastianStan,DominicCooper,SamuelL,StanleyTucci,TobyJones,NatalieDormer,AmandaRighetti,RichardArmitage,BrunoRicci,NealMcDonough,DerekLuke,KennethChoi,J,StanLee,MichaelBrandon,MartinSherman,WilliamHope,LexShrapnel,OscarPearce,NicholasPinnock,MarekOravec,DavidBradley,LeanderDeeny,SamHoare,JennaColeman,SophieColquhoun,SimonKunz,DougCockle,BenBatt,MollieFitzgerald,DamonDriver,DavidMcKail,AmandaWalker,RichardFreeman,KatherinePress,SergioCovino,MarcelloWalton,AnatoleTaubman,JanPohl,ErichRedman,RosannaHoult,NaomiSlights,KirstyMather,LauraHaddock,JamesPayton,RonanRaftery,NickHendrix,LukeAllenGale,JackGordon,BenUttley,PatrickMonckeberg",135,"[(101, 5, 29)]",140000000,http://captainamerica.marvel.com/,tt0458339,19.323582,124,When patriots become heroes
3046,2,4,"['IT', 'GB', 'US']",3,0,90,1,1,11,"[(6, 2, 3)]","ChristopherWalken,RupertEverett,NatashaRichardson,HelenMirren,ManfrediAliquo,DavidFord,DanielleFranco,RossanaCanghiari,MarioCotone,GiancarloPreviati,AntonioSerrano",4,"[(1, 0, 3)]",0,,tt0099292,2.069497,107,A story of passionate obsession.
3047,6,1,['US'],1,1,44,4,11,35,"[(14, 3, 18)]","HumphreyBogart,WalterBrennan,LaurenBacall,DoloresMoran,HoagyCarmichael,SheldonLeonard,MarcelDalio,WalterSande,DanSeymour,EugeneBorden,LanceFuller,MauriceMarsac,RonRandell,WalterSzurovy,AldoNadi,JackChefe,JeanDeBriac,MarcelDeLaBrosse,ElzieEmanuel,HaroldGarrison,FredFarrell,SuzetteHarbin,SirLancelot,PaulMarion,LouisMercier,GeorgeSuzanne,CraneWhitley,ChefMilani,PedroRegas,PatriciaShay,EmmettSmith,GeorgeSorel,MargueritaSylva,PatWest",38,"[(21, 0, 17)]",0,,tt0037382,10.003167,100,TALK ABOUT T.N.T.! THIS is IT!
3048,4,4,"['DE', 'US']",2,1,06,1,12,15,"[(1, 4, 10)]","PaulWalker,CameronBright,VeraFarmiga,ChazzPalminteri,KarelRoden,JohnnyMessner,IvanaMili,AlexNeuberger,MichaelCudlitz,BruceAltman,ElizabethMitchell,ArthurJ,JohnNoble,IdalisDeLe,DavidWarshofsky",14,"[(2, 0, 12)]",17000000,https://www.warnerbros.com/running-scared,tt0404390,7.435544,122,Every bullet leaves a trail.
3049,4,2,['US'],1,0,88,3,16,9,"[(1, 1, 7)]","FisherStevens,MichaelMcKean,CynthiaGibb,JackWeston,TimBlaney,DonLake,RobertLaSardo,GerardParkes",9,"[(1, 0, 8)]",0,,tt0096101,7.34677,110,The adventures of America's most electric leading man continue.
3050,2,2,['US'],1,1,77,4,5,19,"[(6, 5, 8)]","JohnTravolta,KarenLynnGorney,BarryMiller,JosephCali,JulieBovasso,SamCoppola,DennyDillon,RobertCostanzo,FranDrescher,DonnaPescow,ValBisoglio,PaulPape,BruceOrnstein,MartinShakar,NinaHansen,LisaPeluso,BertMichaels,RobertWeil,ShellyBatt",10,"[(2, 0, 8)]",3500000,,tt0076666,13.657204,118,Catch it
3051,4,3,['US'],1,1,95,4,5,9,"[(0, 1, 8)]","EricRoberts,JoePantoliano,TiaCarrere,TonyCurtis,ClarenceWilliamsIII,WilliamForsythe,ChrisRock,KevinBernhardt,KieranMulroney",11,"[(5, 0, 6)]",50,,tt0113394,0.825042,98,It was a chance of a lifetime. If they lived that long.
3052,1,2,"['DE', 'US']",2,1,02,4,4,13,"[(0, 5, 8)]","CubaGoodingJr,HoratioSanz,RoselynS,VivicaA,MauriceGodin,RogerMoore,VictoriaSilvstedt,LinShaye,JenniferGareis,ZenGesner,KenHudsonCampbell,RichardRoundtree,BobGunton",30,"[(15, 1, 14)]",20000000,,tt0285462,6.515316,94,"... once you're on, you'll want to get off..."
